
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
1,0-0,0,0,0,0,73,1943-08
2,2-0,2,0,2,2,5,1938-02
3,3-0,3,0,3,3,59,2007-11
4,3-2,3,2,5,1,2,1926-06
5,3-3,3,3,6,0,13,1937-06
6,5-0,5,0,5,5,3,1978-08
7,5-3,5,3,8,2,1,1925-05
8,6-0,6,0,6,6,77,2003-14
9,6-2,6,2,8,4,2,1970-13
10,6-3,6,3,9,3,34,2011-06
11,6-6,6,6,12,0,15,1972-08
12,7-0,7,0,7,7,93,1983-14
13,7-2,7,2,9,5,3,1993-13
14,7-3,7,3,10,4,30,2011-16
15,7-5,7,5,12,2,1,1938-05
16,7-6,7,6,13,1,56,2012-12
17,7-7,7,7,14,0,31,1997-12
18,8-0,8,0,8,8,5,2007-14
19,8-3,8,3,11,5,1,1950-13
20,8-5,8,5,13,3,1,1994-05
21,8-6,8,6,14,2,1,1932-09
22,9-0,9,0,9,9,29,2010-08
23,9-2,9,2,11,7,1,1929-03
24,9-3,9,3,12,6,15,2006-08
25,9-5,9,5,14,4,2,1984-11
26,9-6,9,6,15,3,28,2012-05
27,9-7,9,7,16,2,39,2009-02
28,10-0,10,0,10,10,61,2006-10
29,10-2,10,2,12,8,1,1926-11
30,10-3,10,3,13,7,43,2015-13
31,10-4,10,4,14,6,1,1923-08
32,10-5,10,5,15,5,1,1988-14
33,10-6,10,6,16,4,59,2015-09
34,10-7,10,7,17,3,82,2015-07
35,10-8,10,8,18,2,1,1979-06
36,10-9,10,9,19,1,35,2015-17
37,10-10,10,10,20,0,24,1997-11
38,11-0,11,0,11,11,1,1983-01
39,11-3,11,3,14,8,2,1973-03
40,11-6,11,6,17,5,1,1999-18
41,11-7,11,7,18,4,3,1995-08
42,11-8,11,8,19,3,1,1994-06
43,11-10,11,10,21,1,1,2008-10
44,12-0,12,0,12,12,22,2003-13
45,12-3,12,3,15,9,5,2000-08
46,12-6,12,6,18,6,15,2015-03
47,12-7,12,7,19,5,21,2013-01
48,12-8,12,8,20,4,2,1998-05
49,12-9,12,9,21,3,13,2003-02
50,12-10,12,10,22,2,17,2008-06
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
51,12-12,12,12,24,0,2,1928-02
52,13-0,13,0,13,13,64,2008-16
53,13-2,13,2,15,11,3,1983-14
54,13-3,13,3,16,10,47,2008-15
55,13-6,13,6,19,7,50,2014-10
56,13-7,13,7,20,6,74,2012-06
57,13-8,13,8,21,5,1,2011-03
58,13-9,13,9,22,4,32,2014-16
59,13-10,13,10,23,3,159,2015-04
60,13-11,13,11,24,2,2,1986-11
61,13-12,13,12,25,1,19,2015-08
62,13-13,13,13,26,0,18,2008-10
63,14-0,14,0,14,14,77,2008-15
64,14-2,14,2,16,12,5,1962-09
65,14-3,14,3,17,11,40,2011-13
66,14-5,14,5,19,9,1,1984-05
67,14-6,14,6,20,8,49,2014-10
68,14-7,14,7,21,7,85,2004-04
69,14-9,14,9,23,5,24,2013-08
70,14-10,14,10,24,4,86,2012-14
71,14-11,14,11,25,3,3,2008-07
72,14-12,14,12,26,2,18,2012-03
73,14-13,14,13,27,1,57,2015-05
74,14-14,14,14,28,0,15,1980-06
75,15-0,15,0,15,15,15,2012-14
76,15-3,15,3,18,12,4,1993-14
77,15-6,15,6,21,9,3,2008-03
78,15-7,15,7,22,8,10,2013-08
79,15-9,15,9,24,6,3,2010-01
80,15-10,15,10,25,5,18,2010-02
81,15-12,15,12,27,3,8,2015-13
82,15-13,15,13,28,2,16,2015-12
83,15-14,15,14,29,1,8,2007-01
84,16-0,16,0,16,16,45,2010-10
85,16-3,16,3,19,13,25,2008-13
86,16-6,16,6,22,10,31,2015-15
87,16-7,16,7,23,9,42,2009-11
88,16-8,16,8,24,8,1,1996-09
89,16-9,16,9,25,7,11,2014-03
90,16-10,16,10,26,6,70,2015-14
91,16-11,16,11,27,5,1,2014-14
92,16-12,16,12,28,4,11,2012-05
93,16-13,16,13,29,3,133,2015-10
94,16-14,16,14,30,2,58,2014-14
95,16-15,16,15,31,1,10,2005-12
96,16-16,16,16,32,0,3,1973-07
97,17-0,17,0,17,17,56,2009-15
98,17-3,17,3,20,14,59,2015-12
99,17-5,17,5,22,12,2,1989-06
100,17-6,17,6,23,11,63,2014-01
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
101,17-7,17,7,24,10,106,2014-14
102,17-8,17,8,25,9,1,1924-06
103,17-9,17,9,26,8,28,2014-16
104,17-10,17,10,27,7,133,2015-01
105,17-11,17,11,28,6,1,1988-10
106,17-12,17,12,29,5,24,2010-04
107,17-13,17,13,30,4,103,2015-15
108,17-14,17,14,31,3,190,2014-13
109,17-15,17,15,32,2,11,2015-10
110,17-16,17,16,33,1,69,2015-09
111,17-17,17,17,34,0,21,1988-05
112,18-0,18,0,18,18,3,2001-10
113,18-3,18,3,21,15,2,2005-14
114,18-6,18,6,24,12,4,1988-15
115,18-7,18,7,25,11,7,2001-12
116,18-10,18,10,28,8,3,2006-01
117,18-12,18,12,30,6,3,2015-15
118,18-13,18,13,31,5,4,2015-10
119,18-14,18,14,32,4,5,2009-07
120,18-15,18,15,33,3,6,2011-06
121,18-16,18,16,34,2,7,2015-17
122,18-17,18,17,35,1,14,2015-05
123,19-0,19,0,19,19,35,2013-15
124,19-3,19,3,22,16,15,2014-12
125,19-5,19,5,24,14,1,1999-02
126,19-6,19,6,25,13,13,2013-05
127,19-7,19,7,26,12,37,2014-16
128,19-8,19,8,27,11,1,1927-03
129,19-9,19,9,28,10,12,2015-03
130,19-10,19,10,29,9,22,2008-02
131,19-11,19,11,30,8,4,2011-08
132,19-12,19,12,31,7,8,2010-14
133,19-13,19,13,32,6,43,2015-11
134,19-14,19,14,33,5,40,2014-01
135,19-15,19,15,34,4,4,1990-03
136,19-16,19,16,35,3,42,2015-16
137,19-17,19,17,36,2,44,2014-14
138,19-18,19,18,37,1,2,1997-05
139,19-19,19,19,38,0,1,1928-06
140,20-0,20,0,20,20,67,2010-11
141,20-2,20,2,22,18,1,1937-03
142,20-3,20,3,23,17,57,2015-07
143,20-6,20,6,26,14,50,2015-08
144,20-7,20,7,27,13,87,2015-02
145,20-8,20,8,28,12,3,2008-14
146,20-9,20,9,29,11,18,2015-01
147,20-10,20,10,30,10,111,2015-16
